Prey,Classification,Class,Order (Suborder),Family,Genus,Species,Successful Predation,Predator Size,DOI,Observer,Location,State,Biogeographic zone,Latitude,Longitude,Source,Notes,Link
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,Y,L,U,Mirza MD Arif,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,Google,swallowed 2 kittens and killed mother cat,https://www.youtube.com/watch?v=ImzRCL5PaS4
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,N,M,U,Mirza MD Arif,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,Google,"killed kitten, didnt eat it",https://www.youtube.com/watch?v=LBmUB83vUbA
Felis catus,Mammalia,Mammalia,Carnivora,Felidae,Felis,catus,N,L,HF,Samson Kirubakaran,"Madurai, TN",TN,Deccan Peninsula,9.939093,78.121719,Facebook,,https://www.facebook.com/photo?fbid=1743029135842382&set=bc.AbpyBoze-k-xgtmvV0aYf0HjpSuOkSUIwHk_KCoZKC1RGk2Lx3VnMt7dRhoh1qsosp5Dqy1DovOMoy5ha20Zib3dINGsygGlRDui1x4hZx75CIfzO0lkZsPLCaVXGFv42Ves8YSPe4Hbb7vP8G6juOGq&opaqueCursor=AbrQIta11hXQeT2Xcc-__JhnY1rhXkR8YJdPnAlcJN6nWfy6py2H6jvGfBh1teXFWUOc18m3XWUNLK0sjfujdqRgPRmZrPyZu4cT7ZLcBCbyfTXOkZu2Q06MNHr25-pR9iaVyhW-gssaSx2Yl-qZsSPxiXI9De1pGI9k3NYhwNykD7G0FlY_wEsEd2L7N7JSaOLKJGNNCSQ93XXX1Rv0OuVntijiK_O00LOAwks0VbIIjKxSd2N7360BBfhLPMVC1HLv50S1I28UDU_MkeenRL99Sph4lPLtl3u84qDT8xtsIyGfmcigxVbsYDm1eVE3EyWPwrUCylrgrPT-kO43Tv7JN49kuBE_8Seczmr3Lkxhj-K9Un_5n6vN-mKC3Dd8TmrdOuadwWURMPGAJ1BiF-hThqLJ3es2XQfQ2D1uZQk2lxzLywrOZpk97GKbO3_1gmYp4HzGCJsOikc05pWzrTjTz7369FAhxDfYeNcHxTbTT-N5rGeIrfrH6NPjC0XMVbE
Francolinus pondicerianus,Aves,Aves,Galliformes,Phasianoidae,Francolinus,palmarum,Y,L,U,Dhaval Momya,"Coimbatore, TN",TN,Deccan Peninsula,11.004556,76.961632,pers. comm.,cobra chased and caught the bird in 5 seconds. went under shelter to swallow meal,
Funambulus palmarum,Mammalia,Mammalia,Rodentia,Sciuridae,Funambulus,palmarum,Y,L,U,Kalki 2020,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Literature,,
Gallus gallus domesticus,Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,N,L,HF,Ajay Giri,Western Ghats,KA,-,-,,Instagram,"When we reach the location, we saw an approximately 4 ft long spectacled cobra, trying to swallow the chicken. After 45 minutes it gave up the attempt, regurgitated it took refuge inside a store room",https://www.instagram.com/p/CVfiALplyWR/
Gallus gallus domesticus,Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,N,-,U,Wall 1921,"Faizabad, UP",UP,Gangetic Plain,26.77,82.150002,Literature,,
Gallus gallus domesticus (eggs),Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,Y,L,U,Bhadrak Naag Lok,"Bhadrak, OR",OR,Gangetic Plain,21.051182,86.485748,Google,2 eggs,https://www.youtube.com/watch?v=SmojEyFFjoE
Gallus gallus domesticus (eggs),Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,Y,M,-,Nature's Eye,"Mumbai, MH",MH,Coast,19.07609,72.877426,Instagram,,https://www.instagram.com/p/CNFkoW9MZLx/
Gallus gallus domesticus (eggs),Aves,Aves,Galliformes,Phasianoidae,Gallus,gallus,Y,L,-,Sangam Bhopi,Raigad,MH,Deccan Peninsula,18.515752,73.182162,Facebook,ate 1 egg,https://www.facebook.com/groups/SnakesofIndia/posts/7200223730003624/
Halcyon smyrnensis,Aves,Aves,Coraciiformes,Alcedinidae,Halcyon,smyrensis,N,-,HF,Whitaker 1974,"Chennai, TN",TN,Coast,13.067439,80.237617,Literature,,
Hemidactylus parvimaculatus,Sauria,Reptilia,Squamata (Gekkota),Gekkonidae,Hemidactylus,parvimaculatus,Y,S,HF,Kalki et al. 2022,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Literature,,
Hemidactylus parvimaculatus,Sauria,Reptilia,Squamata (Gekkota),Gekkonidae,Hemidactylus,parvimaculatus,Y,S,HF,Yatin Kalki,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,This study,,
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,-,U,Mirza et al. 2007,-,-,-,-,-,Literature,,
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,L,HF,PRB good job,-,-,-,-,-,Google,,https://www.youtube.com/watch?v=zpaoThLjLzA
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,-,U,Wall 1921,-,-,-,-,-,Literature,,
Lycodon aulicus,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Lycodon,aulicus,Y,M,U,Wall 1921,-,-,-,-,-,Literature,,
Lycodon travancoricus,Serpentes,Reptilia,Squamata (Serpentes),Colubridae,Lycodon,travancoricus,Y,S,HF,Raghavendra Pai,"Someshwara WLS, KA",KA,Western Ghats,13.86825,75.50465,Facebook,,https://www.facebook.com/photo?fbid=10210140051608975&set=bc.AboGP55nPghNOAp2WMo58q2aaKKDuszTe7wcaIycbiTs4paz9PptDng9v2evKWhvIxggg_PAqbOLXzRAMfzKZYrEEoTZD2BLU0gdbSKesFMa_nOeSHdSqTdxCiDdRw3PY2wWoomeEe3bnsm7At0YomEA&opaqueCursor=AboJS_YyWs5FFIYeL7LvU9zBNjuLjbhPdZ0jiOxPaa1cVLPe_CT3EY6rtTrJ3-J-1_65xye9uZdwVyr7_iCTSBDkoFFOh8i2OMUfu-usCzgsCREqOGQbO3nghcRDlmArDg5UyovCJH3LeyBnQeFyrMUwI-azVOrX4kXYqFSuOSbTAAc6SZNd3Ji8DsjZD6mbhxws_Zk7SkzLj-PGEsDky-q0Z6wqeIaqVxxnKQCkXWSVNh_yHn-Ja3YoXn2oTl-dolVdVHPDofKjnDVjxvtsZQYa28pNpD-cUIRjRtv29YUHAnVWx0UE_CRfUnJByeHJuQ9WdjLfg0X1N-web11NTMicaeUEKgCaRi7slVMpLBGsgtHfPLdCqYSfQNcznCW1-PvDZ5WvPiSEeCSxJAzIUcpRQIwS1JpodaKsLbgTN9z9dODXPK8KRlSxqdAfbSQ-DEWKWQNgExVf21aY2ypiSNl1zNB2gLLG5YCYNO4ntmfhLuhofSuJhs-zFOASur6X1JD94B6s5pybdo0J2yzVbRcB5H_-EeQZk6jVObUQwRMOX9uO09MiVDTJSEiOHTWm8aBLaCW3az7roUad4XiijEuf
Melopsittacus undulatus,Aves,Aves,Psittaciformes,Psittacidae,Melopsittacus,udulatus,Y,L,HF,Saidas Kusal,"Kharadi, Pune, MH",MH,Deccan Peninsula,18.555402,73.943827,YouTube,,https://www.youtube.com/watch?v=16uTGKos52A&ab_channel=SarpmitraSaidasKusal
Mus budooga,Mammalia,Mammalia,Rodentia,Muridae,Mus,budooga,Y,-,U,Mirza et al. 2007,-,-,-,-,-,Literature,,
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,HF,Arun Kumar GN,-,-,-,-,-,Facebook,,https://www.facebook.com/permalink.php?story_fbid=752568095463836&id=100021319566849
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,TF,Cheerla Sagar,Telangana,TS,Deccan Peninsula,17.123184,79.208824,YouTube,regurgitated on handling,https://www.youtube.com/watch?v=bRgWvPTYvhw&ab_channel=cheerlasagar
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,HF,Goswami Dipak,"Kotdi, GJ",GJ,Semi-Arid,23.047127,69.182636,India Nature Watch,,http://www.indianaturewatch.net/displayimage.php?id=280131
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,HF,Harish Chandra Parida,-,OR,Deccan Peninsula,-,-,Google,,https://www.aol.co.uk/news/2018/09/28/when-snake-eats-snake-and-then-changes-its-mind/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAEgA8OyTzWhH-G8VmcfdZCPVWWPJSHY6tM72XSiL60H_QZmmDHV1M1LTzbDWpql5EHNQp9qVrWQ_yDsFbCb3PznWO1W9PNsI1JDSkPLKcOSFP9G9BDyht79rwYUGVxWwneQxOIQBekYgdwNWMCJv_tijqma4FHDixXJEnNJdRDCE
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,,L,,Jayesh Bainalwar,"Chandrapur, MH",MH,Deccan Peninsula,19.970324,79.30336,Facebook,,https://www.facebook.com/groups/SnakesofIndia/permalink/5631637663528913/
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,U,L,U,Jigar Solanki,"Maval, MH",MH,Western Ghats,18.900039,73.372274,Instagram,,
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,U,Mirza et al. 2007,-,-,-,-,-,Literature,,
Naja naja,Serpentes,Reptilia,Squamata (Serpentes),Elapidae,Naja,naja,Y,L,HF,Nilesh Parekh,-,-,-,-,-,Facebook,,https://m.facebook.com/story.php?story_fbid=10159571785674392&id=798824391
