Prey,Classification,Class,Order (Suborder),Family,Genus,Species,Successful Predation,Predator Size,DOI,Observer,Location,State,Biogeogrphic zone,Latitude,Longitude,Source,Notes,Link
Cynopterus sphinx,Mammalia,Mammalia,Chiroptera,Pteropodidae,Cynopterus,sphinx,Y,L,HF,Shantanu Kuveskar,"Raigad, MH",MH,Coast,18.593732,73.155561,Facebook,,https://www.facebook.com/photo?fbid=920880914625405&set=bc.AboxvgrGS7lE5iMyIsKtJEd4SKULeDOKhqCvV4MtomAvyEuRjFKDhfLj-MMNEy1dgs4Fsf1g_kV38GPNLN2_66Q8av0ux0Kl_NQqFiKRWGA05jsVd2S_xaEEulWoBYLvCH6EN3ezDjboXNZFuFyvjhyK&opaqueCursor=AbpG_bs3Se2wxkr_IqsxctvwmbStZTeBXTwEfeZ7Oo_ppGy2_TlNTk3YhLBBzFiIEhlj1N84hMMvfLW4KZwqprIqQyH7z1XnNl07yjOZdI1CfWQlZ378TE4OX6MXNMY8kYBNgXMnh2jCdyiV2qUMoh_ujBRgHFNzEsa-yItnD-gNs-n_7AoZhTpXZcJS9z_tRnmaJVQGo_fFYWeC2LYOnGjYWw37vv3naHJN8AeOIBZTg07EGgLAjghhCBwvFyZ8IAxWOf7frxM0wT2-pNYTvnvp5Rq5DOPuKyb-QZvNSMUHvG2SrL5gYmKOpPy7nBIfLtvy-tMtQMfZ1vBAqfyEMqX4dpCyaL_12GMplLcm-tW0v4def6qJT85PivO4X28r8_R77SpraCcGb3I3b5wDZjs0fmBPZFJb9gJpBeOA-3f5OylXoIcLIZmzxzGN5ulw4AqRqFa1q73a3FmUVR6eSao581H3BZ_zd5UZ3uRzYwiQBKGWTBMGhktomaavNPHZSsfD6Fpb6wQQASK8Nzs22bVQ0RaGBxBZ9P4ecyqFtSu66Q
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,L,HF,Kiran Poonacha,-,-,,-,-,Facebook,,https://www.facebook.com/photo/?fbid=115666597737&set=bc.AbrLGz_MjFEUyllEc1IPjdLQGxU2VsbxhysFDJ_VTvEUYFziTryRU6U80ROYICnfCkSirv2z3yKVthUiNpPpwRQDBbZ_3XBRnAeCAY8s56J8Zsj1wRcHGV1d-Pm_nzD_PR_gImgn5BWt3DEEUzgsYHfD&opaqueCursor=AbpkzUpaLHeJRKQGKkE3vH7_Y6S1i5b2C9dMb2b4GfHSnjqIwmTeicbL9_sjFol88OJDzuY8RsAlxtxkLfjGrK6bU0sUsT2ARjphZ4rRP8j_goEM-pNGzB8wFDUZwA8ViGRQUq9SmboBanzty1xC4khlm3yvtro8VHqKRe-dA6AbOQd_ejNYXW4GAvWNkyETgcefC6p_ij5hAWT0aPZGu1NuHqFv0cJpylvgcZv3ms7uqnXNlTWl3rLxkOfpijPIpyGDfdrW34W7voSuZpzduESq99AZAGMUSkaBjGSOTV2PW5s9IxBT1JN01nEHoEb7tcSp6G-ZaPv5QqFUGRviygLQnMkrTLE7c8ullBRijqnj8YdeeNUInFptZLROCneMr3ubf2fdUbjwpN_qLg14kY4Plaz_CRsAcKjgGTClUC24Cvp1moE321gnVDfD8czq_8qW62Xq85bbBKYPnSEz9WZgyyeGtTbWgjOIhhlRYLJ9tA
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Manju Acharya,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Facebook,,https://www.facebook.com/photo?fbid=744286428962927&set=basw.Abq1auHXO730_8Ct5Kvzt8W9axXo-Ug0iAhocLGv4Olj_G875UNsiT5SWhfNJjGJJgijGe_1yAgCTudURfVaQFR3HD5IAVsNBIS7t6nuA9Ikosk7C2UitscGf1nAY68IQNwiWH177PP5VU_LlZcfhHeH9KYCORFRFBOPnbtBRGCHwQ&opaqueCursor=AbqngA-CeZopgxSvW-psE4mPmYlmmeVpMeOZ20aBLmpy8FqVn-Sa6bkHl2QnDa9Ai74a4i__FhuesQUZ3IdhOr-O5sDe0Xxz0J0lxNhGs1ye95oGITrPTv84si-EG5lf35xga_W37-44L39wCo6ArfiqCsQhQmEfH1OCnvbRBroiHzAJeIUNE-Dw4e3yYilk6Y5dHbG9seVG3o8zw_rB_9G55xnnNjHF8m5riiVoVNcesQpYlpb2amVlrT6uyjbbIcVRNKfkshRl2fUKpM3zKYmKxpDRebONEHT_Tal4PtMQo4dQvkIxn02aMD2ARYZtrQhUGTskbv-w9KknTG_Hxu1R5KGHwqbO0hRRi0QaN8u_VYE5BbcgaiFcTbzVIYM4ZWa43jGbG6e6Cb6KDzDd1mAVwXZrUKVenPoBaLtziIvknlsEtkZYpYnjQpdjq5_u1a2IksfeSLCG-HHpMC1-R4vliuonYTRWtb09AJ1ppd3pn5EbSvkpcmmg40Jz10grW8yute3qGEtW_ke0nDo4jsvDYcvdEgCpvfdh8SCtQ8vbzq6eIRMgAWRsB7Cw9heJ90WEzIwU1ovcUwH-Wj0G4h20
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,L,HF,Kalki 2021,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Literature,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,L,HF,Chaudhuri et al. 2018,"Jangalia, WB",WB,Coast,22.256756,88.462212,Literature,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,-,U,Wall 1921,"Kannur, KL",KL,Coast,11.865216,75.365829,Literature,,
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,M,HF,Pratik Mahapatra,"Tamluk, WB",WB,Coast,22.278173,87.914142,Facebook,,https://www.facebook.com/groups/387096378163324/?post_id=733207496885542
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,L,HF,Shivasai Thammala,Telangana,TS,Deccan Peninsula,-,-,Instagram,,https://www.instagram.com/p/CQ-Tg3_saV1/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanostictus,Y,L,HF,Shivasai Thammala,-,TN,Deccan Peninsula,,,Instagram,,https://www.instagram.com/p/CQ-Tg3_saV1/
Duttaphrynus melanostictus,Anura,Amphibia,Anura,Bufonidae,Duttaphrynus,melanosticus,Y,-,U,Unknown,Tamil Nadu,TN,Deccan Peninsula,11.01470522,78.40230434,Literature,Squamatabase,
